title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear
"Alix_of_Brittany,_Dame_de_Pontarcy","['suo jure Dame de Pontarcy', 'Countess of Blois']",,Château de Suscinio,1,1243,1288
Aliye_Sultan,,Istanbul,Istanbul,,1880,1903
"Aloys,_7th_Prince_of_Löwenstein-Wertheim-Rosenberg",Prince of Löwenstein-Wertheim-Rosenberg,Wertheim am Main,Kleinheubach,,1871,1952
"Alphonse_Henri,_Count_of_Harcourt",Count of Harcourt,France,France,,1648,1718
"Amalia_of_Saxony,_Duchess_of_Bavaria",,Rochlitz,Meissen,1,1436,1501
Amalia_von_Dyhrn,Baroness von Dyhrn,Mirocin Górny,Kingdom of Prussia,1,1790,1866
Amalie_Auguste_of_Bavaria,Queen consort of Saxony,Wachwitz,Munich,1,1801,1877
Amalie_of_Zweibrücken-Birkenfeld,"['Electress consort of Saxony', 'Queen consort of Saxony', 'Duchess of Warsaw']",,Mannheim,1,1752,1828
Amar_Singh_II,RanaofMewar,,,,1672,1710
Amedeus_Alexander_of_Savoy,Prince of Savoy,,Royal Palace of Turin,,1754,1755
Amelia_of_Nassau-Weilburg,,Schaumburg Castle Rhineland-Palatinate,Kirchheimbolanden,1,1776,1841
Antony_Guy_Acland,,,,,1916,1983
Apogee_of_Pedro_II_of_Brazil,,France,Paço de São Cristóvão,1,1825,1891
Archduchess_Adelheid_of_Austria,,Pöcking,Schloss Hetzendorf,,1914,1971
Archduchess_Agnes_Christina_of_Austria,Princess Agnes Christina of Liechtenstein,Austria,Austria,1,1928,2007
Archduchess_Amalie_Theresa_of_Austria,Archduchess of Austria,Hofburg Palace,Hofburg Palace,,1807,1807
Archduchess_Anna_of_Austria,Duchess consort of Bavaria,Munich,Prague,1,1528,1590
Archduchess_Assunta_of_Austria,,San Antonio,Vienna,,1902,1993
Archduchess_Auguste_Ferdinande_of_Austria,Princess of Bavaria,Munich,Florence,1,1825,1864
Archduchess_Caroline_Ludovika_of_Austria,,Hofburg Palace,Hofburg Palace,,1795,1799
Archduchess_Charlotte_of_Austria,Duchess of Mecklenburg,Munich,Prangins,1,1921,1989
Archduchess_Dolores_of_Austria,,Viareggio,Austria,,1891,1974
Archduchess_Dorothea_of_Austria,"['Grand Duchess of Tuscany', 'Archduchess and Princess Dorothea of Austria; Princess Dorothea of Hungary Bohemia and Tuscany']",Austria,Schloss_Leutstetten,1,1920,2015
Archduchess_Eleanor_of_Austria,Duchess of MantuaandMontferrat,Mantua,Vienna,1,1534,1594
Archduchess_Eleonora_of_Austria,,,Pula,,1891,1966
Archduchess_Elisabeth_Amalie_of_Austria,Princess Elisabeth of Liechtenstein,Vaduz,Reichenau an der Rax,1,1878,1960
Archduchess_Elisabeth_Franziska_of_Austria_(1892–1930),,Austria,Vienna,,1892,1930
Archduchess_Elisabeth_of_Austria_(1922–1993),Princess Heinrich of Liechtenstein,,Madrid,,1922,1993
Archduchess_Hedwig_of_Austria,,Hall in Tirol,Bad Ischl,,1896,1970
Archduchess_Helena_of_Austria,Hereditary Duchess of Württemberg,Baden-Württemberg,Upper Austria,1,1903,1924
Archduchess_Hermine_of_Austria,,Vienna,Buda,,1817,1842
Archduchess_Ilona_of_Austria,Duchess of Mecklenburg,Freiburg im Breisgau,Kingdom of Hungary (1920–46),1,1927,2011
Archduchess_Immaculata_of_Austria,,Viareggio,Austria,,1892,1971
Archduchess_Isabella_Clara_of_Austria,Duchess of MantuaandMontferrat,,,1,1629,1685
Archduchess_Isabella_of_Austria,Princess Georg of Bavaria,La Tour-de-Peilz,Bratislava,1,1887,1973
Archduchess_Karoline_Marie_of_Austria,Princess of Saxe-Coburg and Gotha,Budapest,Altmünster,1,1869,1945
Archduchess_Ludovika_Elisabeth_of_Austria,,Austria,Austria,,1790,1791
Archduchess_Margarete_Sophie_of_Austria,Duchess of Württemberg,Gmunden,Artstetten Castle,1,1870,1902
Archduchess_Margaretha_of_Austria,,Viareggio,Austria,,1894,1986
Archduchess_Margarethe_Klementine_of_Austria,Princess of Thurn and Taxis,Regensburg,Alcsútdoboz,1,1870,1955
Archduchess_Maria_Amalia_of_Austria_(1724-1730),Archduchess of Austria,Vienna,Vienna,,1724,1730
Archduchess_Maria_Amalia_of_Austria_(1780–1798),,Austria,Grand Duchy of Tuscany,,1780,1798
Archduchess_Maria_Anna_Josepha_of_Austria,Electoral Princess of the Palatinate,Vienna,Regensburg,1,1654,1689
Archduchess_Maria_Anna_of_Austria_(1738–1789),,Austria,Austria,,1738,1789
Archduchess_Maria_Anna_of_Austria_(1770–1809),,Neudorf,Grand Duchy of Tuscany,,1770,1809
Archduchess_Maria_Anna_of_Austria_(1804–1858),Archduchess of Austria,Schloss Hetzendorf,Hofburg Palace,,1804,1858
Archduchess_Maria_Anna_of_Austria_(1882–1940),Princess Maria Anna of Bourbon-Parma,Vaud,Upper Austria,1,1882,1940
Archduchess_Maria_Antonia_of_Austria_(1899–1977),,Porto Alegre,Zagreb,,1899,1977
Archduchess_Maria_Beatrix_of_Austria-Este,Countess of Montizón,Styria,Duchy of Modena and Reggio,1,1824,1906
Archduchess_Maria_Carolina_of_Austria_(1740–1741),,Austria,Austria,,1740,1741
Archduchess_Maria_Carolina_of_Austria_(1748),,Austria,Austria,,1748,1748
Archduchess_Maria_Christina_of_Austria_(1879–1962),Hereditary Princess of Salm-Salm,Anholt Germany,Grand Duchy of Cracow,1,1879,1962
Archduchess_Maria_Clementina_of_Austria,Hereditary Princess of Naples,Naples,Villa del Poggio Imperiale,1,1777,1801
Archduchess_Maria_Dorothea_of_Austria,Duchess of Orléans,Alcsútdoboz,Alcsútdoboz,1,1867,1932
Archduchess_Maria_Elisabeth_of_Austria_(1737–1740),,Laxenburg,Austria,,1737,1740
