title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear,birthCountry
Archduchess_Dolores_of_Austria,,,,,1891,1974,Austria
Archduchess_Dorothea_of_Austria,"['Grand Duchess of Tuscany', 'Archduchess and Princess Dorothea of Austria; Princess Dorothea of Hungary Bohemia and Tuscany']",,,,1920,2015,
Archduchess_Eleanor_of_Austria,Duchess of MantuaandMontferrat,,,,1534,1594,
Archduchess_Eleonora_of_Austria,,,,,1891,1966,
Archduchess_Elisabeth_Amalie_of_Austria,Princess Elisabeth of Liechtenstein,,,,1878,1960,
Archduchess_Elisabeth_Franziska_of_Austria_(1892–1930),,,,,1892,1930,
Archduchess_Elisabeth_of_Austria_(1922–1993),Princess Heinrich of Liechtenstein,,,,1922,1993,
Archduchess_Hedwig_of_Austria,,,,,1896,1970,
Archduchess_Helena_of_Austria,Hereditary Duchess of Württemberg,,,,1903,1924,
Archduchess_Hermine_of_Austria,,,,,1817,1842,
Archduchess_Ilona_of_Austria,Duchess of Mecklenburg,,,,1927,2011,
Archduchess_Immaculata_of_Austria,,,,,1892,1971,Austria
Archduchess_Isabella_Clara_of_Austria,Duchess of MantuaandMontferrat,,,,1629,1685,
Archduchess_Isabella_of_Austria,Princess Georg of Bavaria,,,,1887,1973,
Archduchess_Karoline_Marie_of_Austria,Princess of Saxe-Coburg and Gotha,,,,1869,1945,
Archduchess_Ludovika_Elisabeth_of_Austria,,,,,1790,1791,Austria
Archduchess_Margarete_Sophie_of_Austria,Duchess of Württemberg,,,,1870,1902,
Archduchess_Margaretha_of_Austria,,,,,1894,1986,Austria
Archduchess_Margarethe_Klementine_of_Austria,Princess of Thurn and Taxis,,,,1870,1955,
Archduchess_Maria_Amalia_of_Austria_(1724-1730),Archduchess of Austria,,,,1724,1730,
Archduchess_Maria_Amalia_of_Austria_(1780–1798),,,,,1780,1798,
Archduchess_Maria_Anna_Josepha_of_Austria,Electoral Princess of the Palatinate,,,,1654,1689,
Archduchess_Maria_Anna_of_Austria_(1738–1789),,,,,1738,1789,Austria
Archduchess_Maria_Anna_of_Austria_(1770–1809),,,,,1770,1809,
Archduchess_Maria_Anna_of_Austria_(1804–1858),Archduchess of Austria,,,,1804,1858,
Archduchess_Maria_Anna_of_Austria_(1882–1940),Princess Maria Anna of Bourbon-Parma,,,,1882,1940,
Archduchess_Maria_Antonia_of_Austria_(1899–1977),,,,,1899,1977,
Archduchess_Maria_Beatrix_of_Austria-Este,Countess of Montizón,,,,1824,1906,
Archduchess_Maria_Carolina_of_Austria_(1740–1741),,,,,1740,1741,Austria
Archduchess_Maria_Carolina_of_Austria_(1748),,,,,1748,1748,Austria
Archduchess_Maria_Christina_of_Austria_(1879–1962),Hereditary Princess of Salm-Salm,,,,1879,1962,
Archduchess_Maria_Clementina_of_Austria,Hereditary Princess of Naples,,,,1777,1801,
Archduchess_Maria_Dorothea_of_Austria,Duchess of Orléans,,,,1867,1932,
Archduchess_Maria_Elisabeth_of_Austria_(1737–1740),,,,,1737,1740,Austria
Archduchess_Maria_Elisabeth_of_Austria_(1743–1808),,,,,1743,1808,
Archduchess_Maria_Henrietta_of_Austria,,,,,1883,1956,
Archduchess_Maria_Immakulata_of_Austria,Duchess Robert of Württemberg,,,,1878,1968,
Archduchess_Maria_Isabella_of_Austria,Countess ofTrapani,,,,1834,1901,
Archduchess_Maria_Johanna_Gabriela_of_Austria,Archduchess of Austria,,,,1750,1762,Austria
Archduchess_Maria_Josepha_of_Austria,,,,,1751,1767,
Archduchess_Maria_Leopoldine_of_Austria-Este,Electress of Bavaria,,,,1776,1848,
"Archduchess_Maria_Luisa_of_Austria,_Princess_of_Tuscany",Princess of Isenburg and Büdingen,,,,1845,1917,
Archduchess_Maria_Theresa_of_Austria-Este_(1817–1886),Comtesse de Chambord,,,,1817,1886,
Archduchess_Maria_Theresa_of_Austria_(1684–1696),Archduchess of Austria,,,,1684,1696,
Archduchess_Maria_Theresa_of_Austria_(1762–1770),,,,,1762,1770,
Archduchess_Maria_Theresa_of_Austria_(1845–1927),Duchess of Württemberg,,,,1845,1927,
Archduchess_Maria_Theresa_of_Austria_(1862–1933),Archduchess and Princess Maria Theresia of Austria; Princess Maria Theresia of Hungary Bohemia and Tuscany,,,,1862,1933,
Archduchess_Marie_Caroline_of_Austria_(1794–1795),,,,,1794,1795,Austria
Archduchess_Mathilda_of_Austria,Archduchess of Austria,,,,1849,1867,
Archduchess_Mechthildis_of_Austria,Princess Czartoryska,,,,1891,1966,
Archduchess_Renata_of_Austria,Princess Radziwill,,,,1888,1935,
Archduchess_Rosa_of_Austria,Duchess of Württemberg,,,,1906,1983,
"Archduke_Albrecht_Franz,_Duke_of_Teschen",Duke of Teschen,,,,1897,1955,Austria
Archduke_Anton_Victor_of_Austria,,,,,1779,1835,
Archduke_Anton_of_Austria,Archduke of Austria Prince Imperial of Austria Prince Royal of Hungary and Bohemia Prince of Tuscany,,,,1901,1987,
Archduke_Charles_Joseph_of_Austria_(1745–1761),,,,,1745,1761,Austria
Archduke_Charles_Stephen_of_Austria,,,,,1860,1933,
Archduke_Ernest_of_Austria_(1824–99),,,,,1824,1899,
Archduke_Felix_of_Austria,,,,,1916,2011,
Archduke_Ferdinand_Karl_Viktor_of_Austria-Este,"['Archduke of Austria-Este', 'Prince of Modena']",,,,1821,1849,
Archduke_Ferdinand_Karl_of_Austria,,,,,1868,1915,
Archduke_Franz_Ferdinand_of_Austria,,,,,1863,1914,
"Archduke_Franz_Josef_of_Austria,_Prince_of_Tuscany",,,,,1905,1975,Austria
Archduke_Franz_Salvator_of_Austria,Archduke and Prince Franz Salvator of Austria; Prince Francis Salvator of Hungary Croatia and Bohemia,,,,1866,1939,
Archduke_Gottfried_of_Austria,,,,,1902,1984,
Archduke_Hubert_Salvator_of_Austria,Archduke and Prince Hubert Salvator of Austria; Prince Hubert Salvator of Hungary Bohemia and Tuscany,,,,1894,1971,
Archduke_Johann_Nepomuk_of_Austria,,,,,1805,1809,Austria
Archduke_Johann_Salvator_of_Austria,Archduke,,,,1852,1911,
Archduke_Joseph_Francis_of_Austria,,,,,1895,1957,
Archduke_Joseph_Franz_of_Austria,,,,,1799,1807,Austria
Archduke_Karl_Albrecht_of_Austria,,,,,1888,1951,
Archduke_Karl_Ferdinand_of_Austria,,,,,1818,1874,
Archduke_Karl_Salvator_of_Austria,Archduke and Prince Archduke Karl Salvator of Austria; Prince Charles Salvator of Hungary Croatia and Bohemia; Prince of Tuscany,,,,1839,1892,
Archduke_Karl_of_Austria-Este,Prince Archbishop of Esztergom,,,,1785,1809,
Archduke_Leo_Karl_of_Austria,,,,,1893,1939,
Archduke_Leopold_Ferdinand_of_Austria,,,,,1868,1935,
Archduke_Leopold_Ludwig_of_Austria,,,,,1823,1898,
Archduke_Leopold_Salvator_of_Austria,Prince of Tuscany,,,,1863,1931,
Archduke_Ludwig_Viktor_of_Austria,,,,,1842,1919,
Archduke_Maximilian_Eugen_of_Austria,Archduke of Austria,,,,1895,1952,
Archduke_Peter_Ferdinand_of_Austria,,,,,1874,1948,
Archduke_Rainer_of_Austria_(1895–1930),Prince of Tuscany,,,,1895,1930,
Archduke_Rudolf_of_Austria_(1919–2010),"['Archduke and Prince Rudolf of Austria', 'Prince Rudolf of Hungary Croatia and Bohemia']",,,,1919,2010,Switzerland
Archduke_Stefan_of_Austria,Prince of Tuscany Archduke and Imperial Prince of Austria Royal Prince of Hungary and Bohemia,,,,1932,1998,
Archduke_Wilhelm_Franz_of_Austria,,,,,1827,1894,
Archduke_Wilhelm_of_Austria,,,,,1895,1948,Croatia
"Archibald_Acheson,_1st_Viscount_Gosford",,,,,1718,1790,
Archibald_Birkmyre,,,,,1875,1935,
Archil_of_Imereti,,,,,1647,1713,
Ari'imate,King of Huahine,,,,1824,1874,
Ari_Singh_II,MaharanaofMewar,,,,1724,1773,
Armande_de_La_Tour_d'Auvergne,Princess of Epinoy,,,,1697,1717,
Armgard_von_Cramm,Princess of Lippe-Biesterfeld,,,,1883,1971,
"Armin,_Prince_of_Lippe",Prince of Lippe,,,,1924,2015,Germany
Arthur_Cory-Wright,,,,,1869,1951,
"Arthur_Maxwell,_11th_Baron_Farnham",,,,,1879,1957,
August_Cayzer,,,,,1876,1943,
August_of_Saxony,,,,,1589,1615,
Augusta_Victoria_of_Hohenzollern,Countess Robert Douglas,,,,1890,1966,
Auguste_Louise_of_Württemberg-Oels,,,,,1698,1739,
Auguste_de_Beauharnais,Duke of Santa Cruz,,,,1810,1835,
Auguste_of_Anhalt-Dessau,Princess of Schwarzburg-Rudolstadt,,,,1793,1854,
Auguste_of_Schleswig-Holstein-Sonderburg-Glücksburg,Duchess consort of Schleswig-Holstein-Sonderburg-Augustenburg,,,,1633,1701,
